sales,quantity,profit,label
5.98,1,2.691,1
54.384,2,1.3596,1
28.4,5,13.348,1
27.68,2,9.688,1
9.936,3,2.7324,1
8159.952,8,-1359.992,3
275.928,3,-58.6347,1
1740.06,9,-24.858,0
32.064,6,6.8136,1
177.98,5,-453.849,1
143.976,3,8.9985,1
20.94,3,9.8418,1
110.96,2,53.2608,1
340.144,7,21.259,1
52.448,2,-131.12,1
20.16,4,6.552,1
97.264,4,-243.16,1
396.802,7,-11.3372,1
15.88,5,-3.7715,1
3.28,1,1.4104,1
24.816,2,1.8612,1
408.744,7,76.6395,2
503.96,4,131.0296,2
149.95,5,41.986,1
29.0,2,7.25,1
7.16,2,3.4368,1
176.8,8,22.984,1
37.224,3,3.7224,1
20.016,3,6.255,1
899.136,4,112.392,2
71.76,6,20.0928,1
51.84,8,24.8832,1
626.352,3,46.9764,2
19.9,5,6.567,1
14.28,7,6.7116,1
7.408,2,1.2038,1
6.048,3,1.5876,1
46.26,3,12.0276,1
2.946,2,-2.2586,1
16.056,3,5.8203,1
21.744,3,6.795,1
218.75,2,-161.875,1
2.6,1,0.2925,1
66.284,2,-178.9668,1
35.168,7,9.6712,1
444.768,4,44.4768,2
83.92,4,5.8744,1
131.98,2,35.6346,1
15.92,4,7.4824,1
52.29,9,16.2099,1
91.99,1,3.6796,1
20.8,2,6.5,1
23.68,2,8.88,1
452.45,5,-244.323,2
62.982,3,-14.6958,1
1188.0,9,-950.4,2
89.584,2,4.4792,1
93.06,6,26.0568,1
302.376,3,22.6782,1
5.584,2,1.8148,1
22.704,6,8.2302,1
19.776,4,-13.8432,1
72.704,4,19.0848,1
479.988,4,-383.9904,2
27.168,2,2.7168,1
2.2,1,0.968,1
622.45,5,136.939,2
21.98,1,0.2198,1
161.568,2,-28.2744,1
389.696,8,43.8408,1
18.648,7,-12.432,1
233.86,2,-102.048,1
620.6145,3,-248.2458,2
5.328,2,-3.552,1
258.072,3,0.0,1
617.976,3,-7.7247,2
10.56,2,4.752,1
25.92,5,9.396,1
419.68,5,-356.728,1
11.688,3,-4.6752,1
31.984,2,11.1944,1
177.225,5,-120.513,1
4.044,3,-2.8308,1
7.408,2,1.2038,1
2001.86,7,580.5394,0
166.72,2,41.68,1
47.88,6,23.94,1
1503.25,5,496.0725,0
25.92,4,12.4416,1
321.568,2,28.1372,1
7.61,1,3.5767,1
3347.37,13,636.0003,0
80.58,6,22.5624,1
361.92,4,162.864,1
12.132,9,-8.4924,1
82.368,2,-19.5624,1
53.92,5,4.044,1
647.904,6,56.6916,2
20.37,3,6.9258,1
221.55,3,6.6465,1
17.52,5,6.132,1
1.624,2,-4.466,1
3059.982,3,-509.997,0
2519.958,7,-251.9958,0
328.224,4,28.7196,1
79.9,2,35.156,1
14.016,3,4.7304,1
7.56,6,0.3024,1
37.208,1,-7.4416,1
57.576,3,21.591,1
725.84,4,210.4936,2
209.93,7,92.3692,1
5.28,3,2.3232,1
10.92,3,4.095,1
8.82,2,4.0572,1
5.98,1,1.5548,1
11.648,2,4.0768,1
18.176,4,5.9072,1
59.712,6,5.9712,1
24.84,3,8.694,1
2.08,5,-3.432,1
1114.4,7,376.11,2
1038.84,5,51.942,2
141.76,5,47.844,1
239.8,5,47.96,1
31.104,6,10.8864,1
254.058,7,-169.372,1
194.528,2,24.316,1
961.48,5,-204.3145,2
19.096,7,6.6836,1
18.496,8,6.2424,1
255.984,2,54.3966,1
86.97,3,-48.7032,1
300.416,8,78.8592,1
230.352,3,20.1558,1
218.352,3,-24.5646,1
78.6,5,-62.88,1
27.552,3,9.2988,1
32.4,5,15.552,1
1082.48,8,10.8248,2
56.91,3,27.3168,1
77.6,4,38.024,1
14.28,1,6.5688,1
219.075,3,-131.445,1
26.8,2,12.864,1
9.84,3,2.8536,1
45.48,3,20.9208,1
289.2,6,83.868,1
4.89,1,2.0049,1
15.136,4,3.5948,1
466.768,2,52.5114,2
15.232,1,1.7136,1
6.264,3,2.0358,1
87.54,3,37.6422,1
178.384,2,22.298,1
15.552,3,5.4432,1
99.136,4,8.6744,1
135.882,1,24.1568,1
3991.98,2,1995.99,3
275.94,6,80.0226,1
360.0,4,129.6,1
43.57,1,13.071,1
7.16,2,3.58,1
251.52,6,81.744,1
99.99,1,34.9965,1
15.992,1,0.9995,1
290.898,3,-67.8762,1
54.224,2,3.389,1
786.744,4,-258.5016,2
100.24,10,33.831,1
37.764,6,-27.6936,1
82.8,2,-20.7,1
20.724,2,-13.816,1
4.896,3,-3.4272,1
4.752,1,1.6038,1
959.984,2,335.9944,2
14.368,4,4.49,1
7.712,2,2.7956,1
698.352,3,-17.4588,2
4.96,4,2.3312,1
17.856,4,1.116,1
509.97,10,-407.976,2
30.992,13,10.0724,1
71.928,12,8.3916,1
88.8,4,-2.22,1
47.976,3,4.7976,1
7.56,3,3.0996,1
24.56,2,11.5432,1
12.96,2,4.1472,1
6.79,1,2.3086,1
24.56,2,11.5432,1
3.048,1,1.0668,1
49.12,4,23.0864,1
4355.168,4,1415.4296,3
388.704,6,-4.8588,1
8.26,2,3.7996,1
17.04,4,6.9864,1
34.4,5,15.824,1
36.24,5,11.325,1
647.84,8,168.4384,2
20.7,2,9.936,1
20.7,2,9.936,1
488.646,3,86.8704,2
5.56,2,1.4456,1
47.12,8,20.7328,1
211.96,4,8.4784,1
23.2,4,10.44,1
7.36,2,0.1472,1
104.79,7,29.3412,1
1043.92,4,271.4192,2
25.92,5,9.396,1
53.424,3,4.6746,1
8.16,5,-5.712,1
1023.936,8,179.1888,2
9.24,1,0.924,1
479.04,10,-29.94,2
99.136,4,30.98,1
1488.424,7,-297.6848,2
8.652,3,-20.3322,1
23.832,3,2.6811,1
12.176,4,-18.8728,1
50.96,7,25.48,1
49.536,3,17.3376,1
41.9,2,8.799,1
375.4575,3,-157.0095,1
83.976,3,-1.0497,1
482.34,4,-337.638,2
2.96,1,0.777,1
2.624,1,0.4264,1
23.36,4,7.884,1
39.98,2,13.5932,1
246.384,2,27.7182,1
1799.97,3,701.9883,0
12.462,3,-20.5623,1
75.792,3,25.5798,1
49.96,2,9.4924,1
12.96,2,6.2208,1
70.12,4,21.036,1
35.952,3,3.5952,1
2396.2656,4,-317.1528,0
131.136,4,-32.784,1
57.584,2,0.7198,1
9.568,2,3.4684,1
39.072,6,9.768,1
35.91,3,9.6957,1
179.95,5,37.7895,1
1199.976,3,434.9913,2
27.15,5,13.3035,1
1004.024,7,-112.9527,2
9.68,1,4.6464,1
28.35,9,13.608,1
55.98,1,27.4302,1
1336.829,13,31.4548,2
113.568,2,-18.4548,1
139.86,7,65.7342,1
307.136,4,26.8744,1
95.92,8,25.8984,1
383.8,5,38.38,1
5.78,1,2.8322,1
9.32,4,2.7028,1
15.25,1,7.015,1
196.752,6,56.5662,1
56.56,4,14.7056,1
32.7,3,8.502,1
866.4,4,225.264,2
28.4,2,11.076,1
287.92,8,138.2016,1
69.99,1,30.0957,1
6.672,6,0.5004,1
189.588,2,-145.3508,1
408.744,7,76.6395,2
291.96,5,54.7425,1
4.768,2,-0.7748,1
714.3,5,207.147,2
4.812,2,-3.6892,1
247.8,5,-18.585,1
1007.979,3,43.1991,2
313.488,7,113.6394,1
31.872,8,11.5536,1
207.846,3,2.3094,1
12.22,1,3.666,1
194.94,3,23.3928,1
70.95,3,20.5755,1
91.36,4,42.0256,1
242.94,3,29.1528,1
22.05,7,10.584,1
2.91,1,1.3677,1
59.52,3,15.4752,1
161.94,3,9.7164,1
263.88,6,71.2476,1
30.48,3,7.9248,1
9.84,3,2.8536,1
35.12,4,9.1312,1
284.364,2,-75.8304,1
665.408,2,66.5408,2
63.88,4,24.9132,1
129.568,2,-24.294,1
747.558,3,-96.1146,2
8.928,2,3.348,1
103.92,4,36.372,1
899.91,9,377.9622,2
51.312,3,18.6006,1
23.56,5,7.068,1
1272.63,6,-814.4832,2
28.485,5,-20.889,1
185.376,2,-34.758,1
78.272,2,5.8704,1
254.744,7,-312.0614,1
205.3328,2,-36.2352,1
4.788,3,-7.9002,1
55.48,1,26.6304,1
340.92,3,3.4092,1
222.666,2,10.4784,1
703.968,4,87.996,2
92.52,6,24.9804,1
62.65,7,28.819,1
94.85,5,45.528,1
95.76,6,7.182,1
40.2,3,19.296,1
14.7,5,6.615,1
704.25,5,84.51,2
9.09,3,1.9089,1
5.96,2,1.6688,1
159.98,2,57.5928,1
29.6,2,14.8,1
514.165,5,-30.245,2
279.96,5,17.4975,1
2735.952,6,341.994,0
7.992,1,0.5994,1
63.984,2,10.3974,1
70.368,2,6.1572,1
449.15,5,8.983,2
11.07,3,5.0922,1
93.98,2,13.1572,1
189.882,3,-94.941,1
105.42,2,51.6558,1
119.616,8,40.3704,1
255.76,4,81.8432,1
241.568,2,18.1176,1
69.3,9,22.869,1
22.62,2,-15.08,1
14.952,2,-11.9616,1
801.568,2,50.098,2
2.376,3,-1.9008,1
32.792,1,11.8871,1
15.92,5,5.373,1
2.74,1,0.7398,1
8.34,3,2.1684,1
46.74,3,11.685,1
6354.95,5,3177.475,3
126.3,3,40.416,1
38.04,2,12.1728,1
7.152,3,0.7152,1
6.63,3,1.7901,1
5.88,2,1.7052,1
2999.95,5,1379.977,0
51.45,3,13.8915,1
11.96,2,5.382,1
1126.02,3,56.301,2
18.392,1,5.2877,1
129.568,2,-25.9136,1
14.112,9,-21.168,1
210.98,2,21.098,1
55.176,3,-12.4146,1
66.26,2,27.1666,1
22.2,5,10.434,1
683.952,3,42.747,2
45.696,3,5.1408,1
36.336,3,-7.2672,1
666.248,1,-149.9058,2
52.512,6,19.692,1
190.72,1,11.92,1
47.94,3,2.397,1
979.95,5,274.386,2
22.75,5,11.375,1
16.768,2,1.4672,1
42.616,7,-68.1856,1
10.752,4,3.36,1
152.94,3,41.2938,1
283.92,4,70.98,1
468.9,6,206.316,2
380.864,8,38.0864,1
646.776,9,-145.5246,2
58.112,2,7.264,1
100.792,1,6.2995,1
66.112,4,-84.2928,1
41.28,6,13.932,1
13.36,2,6.4128,1
250.272,9,15.642,1
11.364,3,-17.046,1
8.72,5,-1.744,1
1121.568,2,0.0,2
34.504,1,6.0382,1
10.824,3,2.5707,1
1295.78,2,310.9872,2
19.456,4,3.4048,1
20.7,2,9.936,1
1335.68,4,-217.048,2
32.4,5,15.552,1
42.6,3,16.614,1
84.056,7,27.3182,1
13.0,5,1.3,1
13.128,3,3.7743,1
3.96,2,0.0,1
2.61,1,1.2006,1
374.376,3,46.797,1
91.84,8,45.0016,1
81.088,7,27.3672,1
19.44,3,9.3312,1
451.152,3,0.0,2
72.45,7,34.776,1
13.96,4,6.4216,1
33.264,7,11.2266,1
14.85,3,4.0095,1
8.82,3,2.3814,1
160.72,14,78.7528,1
19.92,4,9.7608,1
7.3,2,2.19,1
69.712,2,8.714,1
8.792,1,-5.7148,1
51.52,4,1.5456,1
470.376,3,52.9173,2
105.584,2,9.2386,1
31.152,3,3.5046,1
6.783,7,-4.7481,1
406.368,4,30.4776,2
70.98,1,4.9686,1
294.93,3,144.5157,1
84.784,2,-20.1362,1
20.736,4,7.2576,1
16.821,3,-12.8961,1
10.368,2,3.6288,1
9.344,2,1.168,1
31.2,3,9.75,1
76.12,2,22.0748,1
1199.976,3,434.9913,2
445.96,5,55.745,2
327.76,8,91.7728,1
11.632,2,1.0178,1
143.982,3,-28.7964,1
494.376,4,-115.3544,2
5.84,2,0.73,1
142.776,1,17.847,1
45.696,3,5.1408,1
7.218,3,-5.5338,1
43.188,4,-31.6712,1
131.904,3,47.8152,1
3.282,2,-2.6256,1
21.168,9,2.3814,1
55.188,2,-10.1178,1
369.576,3,41.5773,1
15.712,4,5.6956,1
8.448,2,2.64,1
728.946,9,-157.9383,2
119.94,10,15.992,1
3.648,2,-2.7968,1
40.48,2,15.7872,1
9.94,2,3.0814,1
107.424,9,33.57,1
37.91,1,10.9939,1
88.02,3,27.2862,1
8.69,5,-14.773,1
301.96,2,87.5684,1
555.21,5,178.901,2
523.48,4,130.87,2
161.82,9,46.9278,1
35.56,7,12.0904,1
97.16,2,28.1764,1
15.24,5,5.1435,1
13.23,3,6.0858,1
243.384,3,-51.7191,1
119.8,5,29.95,1
300.768,4,30.0768,1
17.88,3,2.4585,1
235.944,3,85.5297,1
392.94,3,43.2234,1
18.882,3,-13.8468,1
122.328,3,12.2328,1
1049.2,5,272.792,2
15.424,4,5.0128,1
18.84,3,6.0288,1
330.4,2,85.904,1
26.25,7,12.6,1
132.52,4,54.3332,1
6.48,1,3.1752,1
209.3,2,56.511,1
31.56,5,9.8625,1
30.144,2,3.0144,1
14.8,4,6.068,1
302.376,3,22.6782,1
316.0,4,31.6,1
379.4,10,178.318,1
97.82,2,45.9754,1
103.12,8,10.312,1
113.552,2,8.5164,1
3.318,2,-2.6544,1
134.288,2,45.3222,1
701.372,2,-50.098,2
2.308,2,-3.462,1
999.432,7,124.929,2
724.08,14,-135.765,2
918.785,5,-118.1295,2
2.724,3,-4.2222,1
459.95,5,18.398,2
10.74,3,5.2626,1
23.76,3,2.079,1
85.056,3,28.7064,1
381.576,3,28.6182,1
30.36,5,8.7285,1
23.976,3,-14.3856,1
108.925,1,-71.8905,1
36.352,8,11.36,1
19.56,5,1.7115,1
61.44,3,16.5888,1
38.9,5,17.505,1
99.39,3,40.7499,1
2.688,3,-7.392,1
27.816,3,4.5201,1
82.524,3,-41.262,1
182.994,3,-320.2395,1
14.352,3,4.6644,1
64.96,2,2.5984,1
68.6,4,18.522,1
7999.98,4,-3839.9904,3
167.44,2,14.651,1
479.97,3,163.1898,2
14.62,2,6.8714,1
19.44,3,9.3312,1
191.984,2,4.7996,1
104.01,1,14.5614,1
284.82,1,74.0532,1
36.84,3,10.3152,1
166.24,1,24.936,1
33.4,5,16.032,1
198.272,8,17.3488,1
47.36,4,17.76,1
200.984,7,62.8075,1
97.696,4,31.7512,1
2.696,1,0.8088,1
18.588,2,-13.6312,1
4.896,3,-3.4272,1
15.072,3,4.1448,1
209.88,3,35.6796,1
369.912,3,-13.8717,1
10.368,2,3.6288,1
166.84,5,18.7695,1
15.216,1,2.2824,1
119.96,4,52.7824,1
883.92,5,-110.49,2
46.72,8,15.768,1
55.48,1,26.6304,1
24.448,4,8.8624,1
281.34,6,109.7226,1
307.98,2,89.3142,1
299.97,3,113.9886,1
19.92,5,6.972,1
9.94,2,3.0814,1
103.056,3,24.4758,1
59.808,3,19.4376,1
73.32,6,21.996,1
146.82,3,73.41,1
1652.94,3,231.4116,0
296.37,3,80.0199,1
129.92,5,21.112,1
45.584,7,5.1282,1
17.568,2,6.3684,1
55.992,1,5.5992,1
182.72,8,84.0512,1
400.032,2,-153.3456,1
33.63,3,10.089,1
542.646,3,102.4998,2
6.3,2,3.024,1
242.94,3,9.7176,1
179.97,3,86.3856,1
99.696,6,33.6474,1
27.936,4,9.4284,1
84.98,1,18.6956,1
18.72,5,6.552,1
49.98,2,8.4966,1
11.784,3,4.2717,1
272.736,3,-64.7748,1
3.54,2,-5.487,1
51.52,5,-10.948,1
3.528,1,1.1466,1
4.624,1,1.6762,1
55.168,4,6.2064,1
567.12,10,-28.356,2
359.32,4,7.1864,1
11.992,1,0.8994,1
58.05,3,26.703,1
157.74,11,56.7864,1
56.98,7,22.792,1
2.88,1,1.4112,1
1199.976,3,374.9925,2
79.92,4,28.7712,1
383.438,4,-167.3184,1
24.56,2,6.8768,1
119.8,4,47.92,1
13.128,3,4.2666,1
22.72,4,10.224,1
58.32,9,27.9936,1
12.39,3,5.6994,1
107.982,3,-26.9955,1
11.36,2,5.3392,1
50.94,3,25.47,1
646.74,6,258.696,2
5.64,3,2.7072,1
572.58,6,34.3548,2
310.88,2,23.316,1
641.96,2,179.7488,2
18.28,2,9.14,1
207.0,3,51.75,1
32.35,5,16.175,1
7.71,1,3.4695,1
40.3,2,10.881,1
34.58,7,14.5236,1
32.76,7,3.6855,1
544.008,3,40.8006,2
59.94,3,28.1718,1
23.92,4,11.7208,1
4.28,1,1.926,1
32.07,5,-22.449,1
24.0,2,-2.7,1
35.49,1,-15.6156,1
47.984,2,0.5998,1
186.69,3,87.7443,1
17.456,2,5.8914,1
348.928,2,34.8928,1
143.96,4,69.1008,1
15.42,1,4.1634,1
43.04,8,21.0896,1
332.94,3,79.9056,1
1363.96,5,85.2475,2
9.96,2,4.5816,1
21.72,4,10.6428,1
20.16,7,9.8784,1
132.79,7,63.7392,1
12.96,2,6.2208,1
21.56,7,10.3488,1
283.92,5,17.745,1
22.23,1,7.3359,1
215.968,2,18.8972,1
355.32,9,99.4896,1
12.96,2,6.2208,1
18.28,2,6.2152,1
43.176,3,4.3176,1
1983.968,4,247.996,0
28.4,2,11.076,1
149.97,3,50.9898,1
11.52,4,3.2256,1
1298.55,5,311.652,2
213.92,4,62.0368,1
25.78,2,2.578,1
18.28,2,6.2152,1
1399.93,7,601.9699,0
51.84,8,24.8832,1
5.344,1,1.8704,1
41.472,8,14.5152,1
3.168,3,-2.4288,1
1228.465,5,0.0,2
31.086,3,-22.7964,1
335.52,4,117.432,1
239.97,3,71.991,1
9.82,2,4.8118,1
67.8,4,4.068,1
167.97,3,40.3128,1
35.0,7,16.8,1
37.24,4,10.7996,1
15.28,2,7.4872,1
301.96,2,90.588,1
180.66,3,50.5848,1
191.98,2,51.8346,1
65.99,1,17.1574,1
35.216,2,2.6412,1
23.696,2,6.5164,1
265.475,1,-111.4995,1
51.184,4,-79.3352,1
9.664,2,3.2616,1
21.072,3,1.5804,1
60.45,3,16.3215,1
11.52,4,3.3408,1
186.048,4,9.3024,1
37.44,4,11.7,1
26.976,4,8.7672,1
11.36,2,3.2944,1
14.62,2,6.8714,1
83.72,7,23.4416,1
287.94,3,77.7438,1
48.896,4,8.5568,1
115.36,7,49.6048,1
5.16,2,1.3416,1
38.88,6,18.6624,1
185.88,6,50.1876,1
44.46,2,14.6718,1
242.94,3,9.7176,1
39.96,2,18.7812,1
102.3,10,26.598,1
21.36,2,5.7672,1
7.61,1,3.5767,1
7.16,2,3.58,1
7.36,2,0.1472,1
23.1,2,10.626,1
191.472,6,40.6878,1
5.248,2,0.5904,1
59.184,2,5.1786,1
2.89,1,1.3583,1
51.94,1,21.2954,1
15.936,4,5.1792,1
44.91,6,-35.928,1
1141.47,5,-760.98,2
280.782,3,-46.797,1
34.44,3,17.22,1
11.36,2,5.2256,1
106.344,7,37.2204,1
192.16,5,67.256,1
322.59,3,64.518,1
29.99,1,13.1956,1
371.97,3,66.9546,1
5.892,4,-4.1244,1
68.472,3,23.1093,1
1242.9,5,262.39,2
30.84,2,8.3268,1
13.48,4,5.9312,1
31.4,5,10.048,1
17.46,2,5.9364,1
13.944,3,4.5318,1
83.76,12,1.6752,1
37.66,7,18.4534,1
34.68,6,16.9932,1
149.95,5,14.995,1
51.312,3,18.6006,1
4.54,1,2.043,1
15.92,4,5.4128,1
543.92,8,135.98,2
155.82,7,42.0714,1
70.008,3,24.5028,1
15.648,2,5.0856,1
103.6,7,51.8,1
46.96,8,22.5408,1
8.904,2,-6.5296,1
10.44,5,3.393,1
18.336,4,-32.088,1
323.976,3,20.2485,1
20.04,3,9.6192,1
64.96,2,2.5984,1
12.96,2,6.2208,1
323.136,4,12.1176,1
90.93,7,2.7279,1
52.776,3,19.791,1
1199.8,4,323.946,2
1928.78,7,829.3754,0
352.38,2,81.0474,1
22.2,6,9.102,1
46.94,1,19.2454,1
143.73,9,56.0547,1
99.918,2,-18.5562,1
797.944,4,-56.996,2
8.568,3,-14.5656,1
149.352,3,50.4063,1
12.992,1,-0.812,1
24.56,2,6.8768,1
85.14,3,34.9074,1
21.99,1,10.5552,1
406.6,5,113.848,2
841.568,2,294.5488,2
15.552,3,5.4432,1
252.0,5,53.55,1
46.2,4,12.936,1
28.84,2,9.5172,1
14.592,3,2.5536,1
89.856,3,21.3408,1
13.872,3,5.0286,1
12.192,3,4.1148,1
45.056,8,15.2064,1
29.718,6,-21.7932,1
15.552,3,5.4432,1
447.696,2,33.5772,2
159.99,1,54.3966,1
12.96,2,6.2208,1
134.48,4,34.9648,1
17.12,2,8.0464,1
6.096,2,2.2098,1
1114.272,4,41.7852,2
32.4,5,15.552,1
540.57,3,140.5482,2
167.76,5,62.91,1
393.165,3,-204.4458,1
516.488,7,-12.9122,2
1007.232,6,75.5424,2
2065.32,12,-619.596,0
15.552,3,5.4432,1
25.344,6,7.92,1
25.472,4,7.6416,1
27.168,2,2.7168,1
78.8528,2,-11.596,1
173.8,5,43.45,1
29.592,1,2.5893,1
4.752,2,-3.168,1
15.552,3,5.6376,1
204.6,2,53.196,1
321.568,2,28.1372,1
6.24,2,3.0576,1
21.88,2,10.94,1
4.608,2,1.6704,1
9.82,2,4.8118,1
35.97,3,9.7119,1
12.96,2,6.2208,1
191.6,4,91.968,1
8.64,3,4.2336,1
501.81,3,0.0,2
127.104,6,28.5984,1
124.2,3,-31.05,1
18.588,2,-13.6312,1
30.072,3,10.1493,1
160.93,7,3.2186,1
75.792,3,25.5798,1
1.08,2,-0.792,1
3059.982,2,679.996,0
3.282,2,-2.6256,1
34.02,3,16.6698,1
599.292,6,93.2232,2
3.392,1,0.8056,1
559.984,2,55.9984,2
603.92,5,75.49,2
7.968,2,2.5896,1
27.968,4,9.4392,1
336.51,3,44.868,1
1.112,2,-1.8904,1
520.05,5,72.807,2
17.97,3,5.2113,1
1166.92,5,131.2785,2
14.624,2,5.484,1
10.23,3,4.9104,1
154.9,5,69.705,1
2715.93,7,1276.4871,0
617.97,3,173.0316,2
10.67,1,4.9082,1
36.63,3,9.8901,1
24.1,5,9.158,1
33.11,7,12.9129,1
44.02,2,11.4452,1
2309.65,7,762.1845,0
1090.782,7,-290.8752,2
19.44,3,9.3312,1
484.65,3,92.0835,2
115.296,3,40.3536,1
7.08,3,2.478,1
4.401,3,-3.5208,1
44.75,5,20.585,1
95.984,2,5.999,1
151.72,4,27.3096,1
155.25,3,46.575,1
14.03,1,4.0687,1
1618.37,13,356.0414,0
99.6,1,36.852,1
32.4,5,15.552,1
13.96,2,6.7008,1
155.82,3,63.8862,1
124.95,5,2.499,1
601.65,5,156.429,2
22.74,3,8.8686,1
1267.53,3,316.8825,2
1379.92,8,648.5624,0
6.208,2,2.1728,1
11.808,2,4.2804,1
15.552,3,5.4432,1
63.312,3,20.5764,1
15.588,2,-9.8724,1
177.2,5,83.284,1
197.97,3,57.4113,1
854.94,3,213.735,2
124.11,9,52.1262,1
14.4,5,7.056,1
15.696,3,5.1012,1
2.628,2,-1.9272,1
14.427,3,-10.5798,1
86.62,2,8.662,1
36.624,3,13.734,1
23.968,7,2.6964,1
28.728,3,1.7955,1
697.16,4,146.4036,2
31.86,2,11.151,1
722.352,3,90.294,2
8.84,5,2.9835,1
58.464,9,-146.16,1
254.604,14,-18.186,1
1363.96,5,85.2475,2
102.36,3,-3.8385,1
1113.504,12,125.2692,2
99.99,1,37.9962,1
168.464,2,-29.4812,1
6.72,2,2.436,1
282.888,9,56.5776,1
11.16,2,4.3524,1
108.4,2,22.764,1
82.344,3,27.7911,1
9.088,4,3.2944,1
19.936,4,7.2268,1
65.568,2,22.9488,1
4.416,3,1.6008,1
107.772,2,-29.2524,1
45.216,3,4.5216,1
10.416,7,-2.2134,1
7.872,3,1.2792,1
118.782,3,-27.7158,1
1.448,1,0.2353,1
55.47,5,-46.225,1
194.848,4,12.178,1
1.744,1,-0.3488,1
25.176,4,-18.4624,1
19.46,7,5.0596,1
29.472,3,9.9468,1
8.64,2,3.024,1
6.27,5,-4.598,1
4.368,7,-3.3488,1
31.984,2,1.999,1
40.88,7,10.6288,1
119.96,2,33.5888,1
31.44,3,8.4888,1
6.88,1,2.322,1
